qu1,qu2,qu3,qu4,qu5,qu6,qu7,qu8,qu9,qu10,qu11,qu12,qu13,qu14,qu15,qu16,qu17
4,1,4,4,1,3,4,1,4,1,1,1,4,4,2,2,2
1,3,2,3,1,1,1,3,1,4,1,1,2,1,1,3,4
4,2,1,2,2,1,2,3,4,4,1,1,1,1,2,4,4
3,1,3,1,4,1,3,2,4,4,3,1,3,3,1,3,2
4,3,2,1,2,1,1,1,1,3,2,1,4,2,1,3,2
4,2,3,2,3,4,3,3,4,4,4,1,4,3,1,3,1
1,2,4,4,1,1,1,1,3,4,1,1,3,3,1,1,3
2,3,2,3,3,4,2,1,3,3,3,1,3,3,3,3,3
4,1,2,2,1,2,3,2,3,1,1,1,4,1,1,3,1
4,1,1,1,3,1,3,1,4,3,1,1,4,1,1,2,1
4,2,2,3,2,1,2,1,4,4,2,1,1,2,1,3,2
1,1,1,2,2,2,1,1,3,4,1,1,2,1,1,2,1
1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1,1,4,1,1,4,1,1,2,2
4,1,1,1,1,2,1,3,3,3,1,1,4,3,1,3,3
3,4,3,3,2,4,4,2,2,4,2,4,4,3,4,4,3
2,2,3,4,3,4,3,1,4,4,1,1,2,1,1,2,2
1,1,1,1,4,2,4,1,1,3,1,2,4,1,1,2,2
1,2,3,3,3,1,3,1,1,4,2,1,3,3,1,2,3
1,1,1,1,1,1,2,1,3,2,2,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,1,1,2,2,2,1,2,4,2,1,1,1,1,1,2
4,2,4,4,3,1,1,3,1,4,4,1,4,1,2,1,2
3,1,3,2,2,2,3,2,2,3,2,2,3,3,3,3,3
1,1,1,1,1,1,2,1,1,4,1,1,2,1,1,3,1
2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,3,2
3,2,1,3,3,3,3,3,2,1,4,3,2,2,1,3,3
3,1,1,3,2,1,1,2,1,1,2,1,4,2,1,2,2
1,1,1,4,2,4,1,1,3,2,1,2,1,3,2,3,3
2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1
4,1,3,1,2,3,3,1,3,1,2,1,3,4,3,3,3
2,1,1,3,3,3,4,3,3,4,3,1,2,2,1,1,1
2,2,1,3,2,4,2,2,2,2,2,2,3,2,1,2,2
3,2,3,3,1,3,2,1,3,3,3,1,2,4,2,4,2
4,1,4,4,1,1,3,3,4,4,1,1,4,1,1,1,1
2,2,4,3,4,4,3,4,3,4,4,1,4,3,1,3,4
2,1,1,1,1,1,2,1,3,2,1,1,3,2,1,2,2
2,1,3,3,1,2,1,1,4,2,2,4,3,1,2,3,3
1,3,2,1,2,2,2,3,2,3,2,2,2,1,2,2,2
3,4,4,4,3,1,2,1,3,4,1,3,4,4,1,4,4
1,1,1,1,1,1,1,3,1,4,3,1,1,1,1,1,2
2,2,3,3,3,3,4,1,3,3,1,1,4,3,3,3,3
2,3,3,2,4,2,2,4,4,1,4,1,3,2,1,2,2
2,3,1,1,2,2,1,1,2,2,1,2,3,3,1,3,1
1,1,2,2,1,3,1,1,4,3,1,2,1,2,2,2,3
4,1,1,4,1,1,2,3,1,4,1,2,2,1,2,2,2
1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1
4,2,4,4,4,3,1,2,3,4,3,1,3,4,1,3,3
3,2,2,1,2,3,3,3,3,4,2,1,3,2,2,4,4
4,1,3,4,3,1,1,1,3,2,1,1,2,4,1,2,2
1,1,3,1,3,4,3,3,4,4,1,1,3,1,2,3,3
1,4,1,4,4,1,1,4,4,1,1,4,4,1,1,4,1
2,1,3,1,1,3,2,1,2,4,1,1,2,2,1,1,2
1,1,3,1,4,3,1,3,4,4,4,1,4,1,2,2,3
4,4,4,2,3,3,2,4,3,4,3,4,4,3,3,4,4
1,3,4,3,3,1,3,3,4,4,1,4,4,4,4,4,3
2,3,2,1,3,3,1,4,3,4,3,2,4,3,3,4,3
3,3,4,3,3,3,3,2,4,3,4,4,4,3,2,3,4
4,4,2,1,4,4,3,3,1,4,4,1,1,3,3,3,3
1,1,1,2,3,1,2,1,3,3,4,1,4,1,1,1,1
4,2,1,1,4,4,3,3,3,3,3,4,4,3,1,3,3
3,3,2,3,1,4,2,2,2,1,2,3,2,2,3,2,3
3,1,2,1,2,1,3,3,3,4,1,3,3,2,1,3,3
1,2,3,2,3,4,3,4,4,2,3,2,2,2,1,4,3
1,2,1,1,1,1,2,1,3,4,1,1,1,1,1,2,2
1,1,3,2,1,1,1,1,4,4,1,4,4,2,2,4,2
2,2,1,3,2,4,1,3,2,4,2,1,4,1,2,3,3
1,1,1,1,1,1,1,1,1,3,1,2,3,2,1,2,2
1,4,1,1,1,1,4,1,4,4,1,3,4,1,1,4,4
1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,2,1
4,1,4,4,2,2,3,2,3,4,2,1,4,2,1,1,2
3,2,3,2,2,2,3,3,3,2,3,3,2,2,2,2,2
1,1,2,2,2,3,3,3,3,4,1,1,1,2,1,2,2
3,1,1,3,3,3,1,1,2,3,3,1,3,3,1,4,3
1,1,2,2,1,3,1,1,2,4,1,1,1,2,1,1,1
3,3,4,3,4,1,3,1,1,3,2,2,3,1,2,2,3
3,1,3,2,3,3,3,3,3,2,3,2,3,2,2,3,3
1,1,1,1,2,2,1,1,2,1,4,4,4,2,1,2,2
4,2,4,3,4,4,4,4,4,4,4,1,4,4,3,3,4
1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,3,3
3,1,3,4,3,3,3,3,4,4,2,1,4,1,1,3,3
1,3,4,4,2,4,3,1,2,4,1,2,4,3,1,2,2
2,3,2,3,2,1,1,1,2,3,2,1,2,2,2,2,3
1,2,3,1,1,3,4,4,4,4,1,1,4,1,2,3,3
4,1,4,4,3,4,4,1,4,3,3,1,4,3,1,3,3
4,2,3,2,3,2,2,3,3,3,3,2,4,2,1,3,3
4,1,4,3,4,3,4,4,4,3,4,4,4,2,1,3,2
1,2,1,1,1,2,3,2,2,1,2,1,1,1,3,4,2
2,4,4,3,1,2,4,3,3,4,1,3,4,4,2,4,4
1,3,2,1,1,1,3,3,4,4,4,1,1,3,1,3,3
1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1
3,1,3,3,4,3,1,4,4,4,4,4,3,3,3,3,4
2,1,3,3,1,1,2,2,3,3,1,2,3,2,1,3,3
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1
1,1,1,2,4,1,3,4,3,1,3,4,4,4,3,4,4
4,2,1,4,2,2,3,2,3,1,1,2,4,2,2,2,2
3,2,1,2,3,1,3,1,3,3,1,1,3,3,1,1,2
4,2,2,4,3,4,2,3,3,3,3,3,4,1,2,2,2
4,2,2,3,2,1,1,1,2,2,1,1,1,2,1,3,2
1,3,1,3,1,1,1,2,2,3,1,1,3,2,1,2,2
4,3,4,4,4,4,2,4,4,1,4,1,4,4,4,4,4
3,2,2,2,4,1,3,2,2,3,2,4,4,2,1,3,3
4,2,4,4,4,1,3,1,2,3,1,1,1,3,1,1,1
1,1,1,1,2,1,1,2,1,1,1,4,1,1,1,2,1
3,2,4,4,4,4,2,2,3,4,3,1,3,1,1,2,1
2,3,3,1,4,3,4,3,2,4,4,3,2,2,1,2,2
2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2
4,1,4,4,4,4,1,4,4,4,4,3,4,3,1,3,2
2,1,3,3,4,2,3,4,3,3,3,2,4,3,2,3,3
4,2,4,4,1,1,1,1,1,4,1,1,2,4,2,2,2
1,1,3,3,1,3,1,1,4,3,1,1,1,2,1,2,1
1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,2,1
1,1,2,1,3,2,1,4,3,3,2,1,4,1,1,3,2
4,2,4,4,4,1,2,2,4,4,3,4,4,4,4,4,3
2,3,3,4,2,1,1,1,3,4,2,1,3,3,2,3,3
3,1,1,1,4,1,3,1,1,1,1,1,3,3,3,3,3
1,1,1,1,1,1,3,2,2,4,1,1,1,2,1,2,2
1,1,1,1,3,3,3,3,3,2,1,2,2,1,1,2,2
4,2,4,3,3,1,1,1,3,3,3,1,4,2,2,2,2
1,1,1,1,3,3,3,4,3,3,3,1,2,1,1,2,2
3,2,3,3,3,3,3,2,2,1,2,2,3,2,1,3,2
1,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,2
1,1,1,4,3,4,3,1,3,3,3,4,4,1,3,3,3
4,4,3,3,4,4,3,2,4,4,4,1,3,3,3,3,4
2,1,2,4,1,1,1,1,4,4,4,1,3,2,1,3,2
4,1,3,2,3,2,3,3,3,4,2,1,4,2,3,3,4
2,1,4,4,4,1,1,4,2,4,4,2,1,1,1,2,1
3,3,3,3,4,2,4,3,4,2,3,2,3,2,1,3,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,2,3,3,3,2,3,3,3,3,3,3,1,1,2,2
3,4,4,4,3,4,3,1,4,4,3,1,3,4,3,4,4
3,3,4,3,3,2,3,3,3,3,4,1,3,3,2,3,3
3,3,4,4,3,2,3,3,3,4,4,3,3,2,2,4,3
2,2,3,3,4,3,2,4,3,3,1,3,3,2,2,2,3
3,2,2,3,3,3,1,2,2,2,2,2,3,2,3,3,3
3,4,4,4,4,4,4,4,4,1,4,4,4,3,4,4,4
3,2,2,1,1,1,1,3,3,4,1,1,4,3,3,3,3
1,1,1,3,3,1,2,3,3,2,1,1,2,2,1,2,2
4,2,2,4,3,4,4,4,2,4,3,1,2,3,1,2,2
1,2,2,2,3,2,2,2,2,4,2,2,2,2,1,2,3
3,2,2,1,1,1,1,1,2,1,3,2,2,2,2,3,2
2,2,2,4,2,1,1,1,3,2,1,1,2,1,2,2,2
4,2,3,4,2,1,2,3,4,4,2,1,3,3,1,3,3
3,3,1,1,4,4,1,4,1,4,4,1,3,3,4,4,4
1,1,1,1,1,1,2,1,3,1,1,1,2,1,1,2,1
2,2,4,4,4,3,2,1,3,4,2,4,3,4,1,4,2
4,2,4,4,3,4,3,1,1,3,1,1,4,4,3,3,3
2,1,2,1,3,3,3,4,4,1,1,1,2,1,1,2,1
4,4,3,2,3,1,3,1,3,4,3,3,4,3,3,3,3
4,2,1,1,1,1,2,2,3,3,1,2,1,1,2,3,2
4,3,1,4,2,1,3,3,3,3,1,1,1,4,2,3,3
2,2,3,3,2,1,1,2,2,3,1,1,2,2,2,2,2
1,2,4,1,1,1,1,1,2,3,1,1,1,2,1,2,2
4,3,3,4,2,2,4,4,4,4,3,1,4,3,2,4,4
4,4,1,4,4,2,3,1,3,4,3,1,3,1,1,3,3
4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3
1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,2,2
4,4,4,4,2,3,4,1,4,4,4,4,4,4,4,4,4
2,2,4,3,4,1,4,4,3,1,4,2,2,1,2,2,1
3,1,1,3,3,3,2,4,2,4,3,3,4,2,1,3,4
1,1,1,1,1,1,1,2,2,4,1,1,3,1,1,1,2
4,2,4,4,4,3,3,4,3,2,4,1,4,3,1,3,3
1,1,2,1,2,3,3,2,3,4,1,1,2,1,1,2,3
1,2,1,2,4,1,3,1,4,4,1,1,2,1,2,2,2
1,1,1,1,2,2,1,1,3,1,1,3,3,2,2,3,3
2,3,4,4,2,3,1,4,3,4,1,1,3,3,2,3,3
2,1,1,1,4,1,1,1,2,2,4,1,3,2,2,2,1
1,2,3,3,4,4,4,4,4,4,1,1,2,4,1,2,3
4,3,4,1,4,1,3,3,4,4,3,3,4,3,2,3,3
2,1,1,1,1,3,1,1,3,4,1,2,4,4,2,2,1
1,2,4,4,3,3,3,4,2,3,4,1,3,3,2,3,3
1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1
3,1,2,3,1,1,1,1,1,1,1,2,2,1,1,2,1
2,1,2,2,1,3,2,1,1,2,1,1,2,1,1,1,1
1,3,2,2,1,2,3,2,4,4,1,1,4,3,2,3,3
3,1,2,1,1,2,3,1,2,1,4,1,3,2,2,2,3
1,1,2,3,2,1,3,1,2,3,1,2,2,2,1,3,3
4,2,3,4,1,1,1,1,4,4,1,1,4,3,2,3,4
3,4,4,4,3,4,4,4,3,3,3,1,4,3,2,4,3
2,1,1,1,1,1,3,1,2,2,1,1,2,1,1,2,3
2,3,3,3,3,2,3,1,3,4,2,1,3,1,1,3,3
3,2,2,1,2,2,2,3,3,4,3,3,3,4,2,2,3
3,2,3,2,4,4,2,1,4,4,4,1,4,4,2,2,2
4,3,3,3,3,1,4,1,4,3,4,1,4,4,1,4,4
4,3,4,4,4,4,3,4,4,4,2,1,4,3,1,3,3
2,3,4,4,3,4,4,3,4,4,4,3,4,4,3,3,4
1,1,1,1,1,1,3,1,4,4,1,1,2,2,2,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,3,4,3,4,4,3,4,3,3,3,3,4,2,1,3,3
2,3,3,2,2,2,1,1,1,1,1,2,2,1,1,2,3
2,2,2,1,1,1,4,1,3,1,1,1,4,3,1,1,2
1,1,2,2,1,1,2,1,2,3,1,1,1,2,1,3,2
1,1,1,4,2,1,1,1,1,3,1,1,1,1,1,2,2
4,3,4,4,4,4,3,4,4,4,4,1,4,3,2,3,3
3,1,2,1,2,1,2,1,2,1,1,3,4,3,2,3,3
3,2,3,3,3,3,3,4,3,4,2,2,4,3,3,3,3
4,2,1,4,4,4,1,1,4,3,1,2,4,2,3,3,3
1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1
2,1,3,3,2,2,1,1,3,1,1,3,2,3,2,2,2
1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2
4,2,4,3,1,1,1,1,2,1,2,2,4,3,2,3,2
4,1,4,4,4,2,3,2,3,3,4,4,3,3,2,3,2
4,1,4,4,4,3,4,3,4,4,3,1,4,1,1,2,2
3,1,3,2,2,2,2,1,2,2,2,1,2,2,1,2,2
2,1,1,3,3,3,1,4,4,4,4,1,3,2,2,2,2
3,3,1,2,3,3,3,3,3,3,1,1,3,3,1,3,3
3,4,4,4,1,2,2,1,1,1,2,1,4,3,3,3,3
4,3,3,3,4,3,3,1,4,4,1,1,4,2,1,4,2
4,1,1,4,1,2,1,1,2,1,1,1,2,1,1,2,2
4,1,2,2,1,4,2,2,2,3,1,1,1,2,1,1,2
3,1,3,4,4,4,2,2,4,4,3,1,1,1,1,1,1
1,1,1,1,1,1,3,2,2,4,1,1,2,1,1,2,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,1,1,1,3,1,1,4,1,2,1,1
3,3,2,1,2,2,2,2,2,2,1,1,4,2,2,3,3
3,2,2,1,4,3,3,2,3,2,4,2,3,2,2,3,3
1,2,3,3,1,2,3,3,3,1,1,3,3,2,1,3,3
1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2
3,1,1,3,3,3,2,1,3,3,2,1,4,1,2,4,2
1,3,2,2,2,3,1,2,3,3,1,4,4,2,2,3,3
3,1,3,3,3,3,4,3,3,3,3,4,3,3,1,3,2
1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1
2,2,3,3,3,3,1,1,3,3,2,1,2,2,2,2,1
1,4,3,4,4,1,1,1,3,4,4,4,4,1,4,4,4
3,2,2,1,4,3,4,4,4,4,3,2,3,3,1,3,3
4,4,4,4,1,4,4,3,4,4,1,4,4,4,4,4,4
4,4,3,4,1,3,2,4,4,4,1,1,4,4,2,4,3
2,2,1,4,3,3,3,4,3,4,3,1,2,2,1,2,1
1,3,3,4,3,1,1,1,1,1,1,1,4,1,2,3,4
4,3,2,1,2,2,4,1,3,4,2,4,4,2,2,3,3
2,1,1,4,1,1,1,1,1,3,1,1,2,2,1,2,1
1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,2
2,2,1,1,3,3,2,1,2,4,1,1,4,1,1,2,1
1,1,2,3,1,1,1,1,1,3,1,1,1,2,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1
2,2,4,3,3,3,4,3,4,4,4,2,3,2,1,3,3
4,3,2,3,4,3,4,4,3,4,4,4,4,3,4,4,4
1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1
2,2,4,3,3,3,2,4,3,3,3,3,4,1,3,2,3
2,1,1,1,3,4,4,4,3,4,3,1,2,2,2,2,2
3,1,4,4,3,2,1,1,2,4,3,1,3,1,3,2,3
4,3,3,3,4,2,2,2,3,3,3,2,3,2,2,2,3
1,1,1,1,1,1,2,2,1,4,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
3,1,4,4,4,3,3,1,4,3,1,3,4,4,3,3,3
2,2,3,3,2,1,2,1,3,3,2,2,2,3,3,3,2
1,3,1,1,2,1,1,1,4,4,1,1,4,3,2,2,2
1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1
1,2,1,3,1,1,1,1,4,4,1,1,1,1,1,3,3
1,3,4,4,3,3,2,1,1,3,3,1,4,3,3,3,3
1,3,4,1,4,4,4,4,3,4,3,1,4,1,1,4,4
1,3,1,1,1,1,2,1,1,1,1,1,3,2,1,2,2
1,2,1,1,3,1,3,3,2,3,1,1,3,1,1,1,1
1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,3,1
1,2,3,4,1,1,3,2,2,4,3,2,1,3,3,2,2
1,1,1,4,4,4,4,4,4,4,4,1,1,2,2,3,3
3,1,2,4,4,4,3,4,1,1,1,1,1,1,1,3,3
4,1,1,2,4,3,3,4,4,4,3,1,3,1,2,3,3
1,1,2,1,3,4,2,1,2,4,1,1,2,1,1,1,2
1,1,1,1,4,3,1,1,3,4,1,1,1,2,2,3,3
1,1,2,2,1,2,3,3,1,4,1,1,2,2,3,3,2
4,3,2,3,4,4,3,4,3,4,3,1,2,3,3,4,3
1,2,3,3,2,3,1,4,4,4,3,1,4,2,1,3,3
1,1,4,1,1,1,1,4,4,4,1,1,1,4,1,4,4
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
1,1,2,1,3,3,2,2,3,3,1,2,2,2,1,2,2
1,4,4,4,1,1,2,3,3,1,3,1,4,3,3,2,3
1,1,3,3,4,3,4,4,4,4,1,1,2,1,1,2,1
4,1,4,4,1,4,4,1,4,4,4,1,2,1,1,4,4
4,3,2,3,4,4,2,2,4,3,2,4,4,3,3,3,4
4,3,4,4,3,2,1,3,3,4,3,4,4,4,3,3,3
2,2,1,4,4,4,2,1,2,1,1,2,3,3,1,3,2
1,4,3,3,3,3,3,4,1,4,3,1,3,2,2,4,4
3,3,2,3,4,1,4,3,3,3,2,2,4,2,3,4,3
1,4,1,1,3,1,1,1,1,3,1,1,1,1,1,4,4
1,1,1,1,3,1,2,1,2,1,1,1,1,1,1,1,1
1,1,3,3,1,2,3,1,3,3,1,1,1,1,1,2,2
1,3,3,1,4,1,3,1,4,3,3,1,4,4,3,3,3
3,2,1,3,1,1,2,3,2,4,1,1,2,3,2,2,2
4,2,3,1,1,1,2,1,3,3,1,1,3,1,1,3,3
4,4,4,2,4,1,2,1,2,3,4,1,4,4,2,3,2
1,1,4,4,3,2,2,4,4,4,3,2,2,1,1,2,2
1,1,2,1,3,1,2,2,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,2,1,3,1,1,1,2,2,2,2
4,1,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,2,1,3,2,1,1,1,1,1,2,2
1,3,1,1,4,3,1,4,4,1,3,1,3,1,1,3,4
3,1,1,1,4,3,2,3,4,3,3,4,3,3,1,3,2
1,1,2,2,4,4,3,2,3,1,1,1,1,2,1,1,1
3,1,2,3,4,3,3,4,3,3,4,3,4,3,4,4,4
2,1,3,3,2,2,3,3,4,2,1,1,3,3,2,2,2
1,2,2,2,1,1,2,4,1,1,2,1,3,1,2,3,3
3,3,3,4,4,3,2,3,3,3,2,3,3,3,2,3,2
1,1,3,3,2,2,3,1,3,3,1,1,2,3,1,2,2
1,2,2,1,3,2,2,3,3,4,1,1,1,1,1,1,4
1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1
4,3,4,4,4,3,3,3,3,4,1,4,4,4,1,3,3
4,1,4,4,3,3,1,1,2,4,2,1,3,1,1,2,3
4,4,3,3,4,4,4,4,3,4,3,4,2,4,1,2,3
1,1,3,3,3,2,2,1,1,4,3,1,2,1,1,2,2
1,1,1,1,4,4,3,4,3,3,4,4,3,3,1,3,2
1,1,2,2,1,1,3,1,4,1,1,1,2,1,2,3,3
1,1,2,4,2,3,2,3,2,4,2,1,1,1,1,2,1
1,2,1,1,4,3,3,1,3,2,3,1,3,3,1,3,3
2,1,1,2,3,2,3,3,3,4,2,1,1,2,2,2,2
3,2,3,3,2,3,3,1,3,3,2,3,3,2,2,3,2
1,1,1,1,2,1,1,2,3,3,2,1,1,1,1,1,1
2,2,3,2,3,3,3,1,4,3,3,1,3,3,2,2,3
3,3,3,2,4,3,2,4,2,4,3,2,4,2,1,3,3
4,1,1,4,3,4,4,4,4,1,4,1,4,2,3,4,4
1,1,1,1,3,2,3,1,1,1,1,1,4,2,1,3,2
1,1,1,1,1,1,1,1,1,1,1,4,4,2,1,1,1
1,1,1,1,3,1,3,2,3,1,1,2,1,1,1,2,2
1,1,1,1,1,1,1,3,2,1,1,3,3,1,1,3,1
3,1,1,2,1,2,1,1,1,4,1,1,2,1,1,2,2
3,4,2,2,3,4,2,1,4,4,3,1,3,1,3,4,4
3,3,3,2,1,2,3,3,2,2,1,1,3,2,2,2,1
2,1,2,3,1,1,2,3,2,3,1,1,1,1,1,2,2
1,2,2,2,1,1,3,2,2,4,2,4,3,2,1,3,3
4,2,2,3,4,4,3,4,4,4,4,1,1,2,1,1,2
3,2,3,4,2,3,2,1,3,3,1,1,4,2,2,1,1
1,1,2,4,4,2,3,1,1,3,3,1,2,2,1,3,3
4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
4,3,1,1,1,2,1,3,1,4,2,1,1,3,1,3,1
1,1,4,4,1,1,1,3,4,4,1,3,3,3,1,3,1
4,1,3,4,3,2,3,1,3,4,3,4,4,2,1,3,3
1,1,2,1,2,1,1,1,3,3,1,1,4,1,1,2,1
1,3,3,3,3,2,4,2,4,3,3,4,3,2,1,2,2
4,2,2,2,2,2,2,3,1,2,3,2,1,2,2,2,3
4,3,3,3,1,2,2,4,2,1,1,1,4,2,1,2,2
4,2,1,4,1,3,1,1,1,4,1,1,4,4,2,2,2
1,2,1,3,3,4,3,3,3,3,2,2,4,2,1,2,2
1,1,3,4,4,3,4,4,4,1,4,1,1,2,2,1,2
1,4,1,4,3,4,4,1,3,4,1,1,4,3,2,4,4
2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1
4,2,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3
1,1,4,4,4,1,4,4,3,3,4,4,4,2,2,2,2
4,2,3,3,3,2,2,4,3,3,3,2,3,3,1,3,2
4,2,4,4,4,4,4,2,4,2,2,3,4,4,3,4,4
1,1,3,3,3,1,2,1,3,3,1,3,4,3,1,3,3
1,1,2,1,2,2,2,1,1,4,1,1,1,1,1,2,2
2,1,3,4,3,2,2,1,3,3,3,1,4,2,1,2,2
3,1,3,4,3,1,3,3,4,1,1,1,2,1,2,2,1
2,3,4,4,4,4,1,4,3,1,4,1,3,3,1,3,3
2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,3
2,2,2,1,1,3,2,1,3,2,2,1,4,2,3,3,3
2,2,1,2,1,1,2,2,2,2,2,2,1,1,2,3,2
1,2,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4
1,1,2,1,4,3,4,4,4,2,1,3,1,1,2,3,4
1,1,4,4,2,1,1,1,1,1,2,1,1,1,1,1,1
4,3,4,4,3,3,3,3,3,1,3,1,3,4,3,3,3
1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1
3,1,2,1,2,2,3,3,3,3,3,1,2,2,1,2,1
3,2,3,4,4,4,3,4,4,2,4,4,4,3,3,3,2
3,1,3,3,3,3,2,1,3,3,2,4,4,3,1,3,2
1,1,1,4,4,3,3,1,4,1,4,1,3,1,1,3,3
1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,3
1,3,2,3,3,3,2,1,2,3,2,1,3,3,2,3,3
